rank,score,name,institution,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet
43,0,Haiyan Wang,Purdue University West Lafayette,https://openalex.org/A5100354459,https://orcid.org/0000-0002-7397-1209,,102,49605,1727,ZnO doping and properties; Multiferroics and related materials; Magnetic and transport properties of perovskites and related materials,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,High-performance liquid chromatography with diode array detection for quantifying bakuchiol and <i>Psoralea corylifolia</i> constituents in cosmetics,2026,Journal of Liquid Chromatography & Related Technologies,https://doi.org/10.1080/10826076.2026.2628714,,Evolution of supersaturated metastable phase in sputtered Cu–Fe alloy,2026,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,https://doi.org/10.1116/6.0005248,"Equilibrium phase diagram of Cu and Fe predicts extremely limited solid solubility at room temperature due to their positive heat of mixing. However, nonequilibrium processing techniques can create supersaturated solid solutions with metastable phases. Here, we report depositions of equal atomic per",Timescale-Separation-Based Source Seeking for USV,2025,Drones,https://doi.org/10.3390/drones9120879,"The primary objective of this study is to enable an unmanned surface vehicle (USV) to autonomously approach the extremum of an unknown scalar field using only real-time field measurements. To this end, a source-seeking method based on timescale separation is developed within a hierarchical control f"
44,0,Victor C. Li,University of Michigan,https://openalex.org/A5015828577,https://orcid.org/0000-0002-8678-3493,,124,47709,716,Innovative concrete reinforcement materials; Structural Behavior of Reinforced Concrete; Concrete and Cement Materials Research,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Ductility and hydration mechanisms of innovative engineered/strain-hardening cementitious composites (ECC/SHCC) incorporating solid-waste-derived binder,2026,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2026.145843,"For decarbonized and durable infrastructure, Engineered Cementitious Composites (ECC) must maintain tight crack control and strain-hardening behavior while drastically reducing clinker content. A promising approach is the use of solid-waste-based binder systems to lower carbon dioxide emissions. Thi",Prestressed high-strength high-modulus engineered cementitious composites towards resilient infrastructures,2026,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2026.145607,,Development of volcanic ash based self-stressing engineered cementitious composites (ECC),2026,Cement and Concrete Composites,https://doi.org/10.1016/j.cemconcomp.2026.106468,
45,0,Jian Wang,University of Nebraska–Lincoln,https://openalex.org/A5100370326,https://orcid.org/0000-0001-5130-300X,,106,45699,2044,Microstructure and mechanical properties; Aluminum Alloys Composites Properties; Magnesium Alloys: Properties and Applications,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Cognitive offloading through digital tools and its relationship with critical thinking, task persistence, and learning depth",2026,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2026.1781101,"These findings extend the literature by integrating cognitive offloading with self-efficacy theory, highlighting the psychological mechanism through which digital tool use can support meaningful learning outcomes. The study suggests that when students develop stronger cognitive self-efficacy, cognit",Achieving high crystallization performance of poly[(R)-3-hydroxybutyrate-co-(R)-3-hydroxyhexanoate] with a designed melt-miscible nucleating agent,2025,Polymer,https://doi.org/10.1016/j.polymer.2025.129507,,Active suppression of multi-frequency rotor vibration using double auto-coupled sliding mode control,2025,Journal of Vibration and Control,https://doi.org/10.1177/10775463251407647,"This work proposes a double auto-coupling sliding mode control method for multi-frequency rotor vibration suppression. The approach aims to mitigate multi-frequency vibrations encountered by rotating machinery under operational conditions. Expanding upon the conventional PD control framework, this a"
46,0,David Hui,University of New Orleans,https://openalex.org/A5111030071,,,89,45339,569,Mechanical Behavior of Composites; Natural Fiber Reinforced Composites; Carbon Nanotubes in Composites,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Effect of Zn alloying on the mechanical and damping properties of Cu-Al-Zn alloys,2026,Journal of Alloys and Compounds,https://doi.org/10.1016/j.jallcom.2026.187810,,Design of a lightweight U-shaped frame structure with radiation efficiency tunning for broadband sound insulation,2026,Applied Acoustics,https://doi.org/10.1016/j.apacoust.2026.111290,,Natural Fiber-Reinforced Composites in Precast Modular Construction: A Critical Review of Structural Viability and Durability Considerations for High-Rise Applications,2026,Journal of Natural Fibers,https://doi.org/10.1080/15440478.2026.2629567,"Natural Fiber-Reinforced Polymer Composites (NFRPCs), which utilize renewable lignocellulosic fibers, present a compelling, low-carbon alternative. These materials offer substantial environmental benefits. Furthermore, their low density and high specific stiffness (e.g. flax rivaling E-glass on a we"
47,0,Surendra P. Shah,The University of Texas at Arlington,https://openalex.org/A5046452631,https://orcid.org/0000-0002-1364-4070,,118,41415,747,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Structural Behavior of Reinforced Concrete,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Toughness properties and fiber dispersion in vibrated and self-consolidating fiber reinforced concrete,2026,,https://doi.org/10.1201/9781003759768-12,"The connections between mechanical properties of fiber reinforced concrete and fiber dispersion, as influenced by fresh state properties of the material and casting modalities, are investigated in this work with reference to mostly two-dimensional structural geometry, selected as representative of s",Fracture behavior and enhancement strategies for cement-based materials subjected to harsh environmental conditions: A review,2025,Journal of Building Engineering,https://doi.org/10.1016/j.jobe.2025.114328,,Synthesis of Shrinkage-Reducing Admixture with Different Branch Chain Structures and Its Effect on the Drying Shrinkage of Cement-Based Materials,2025,Journal of Materials in Civil Engineering,https://doi.org/10.1061/jmcee7.mteng-20557,"Shrinkage-reducing admixtures (SRAs) can effectively mitigate the drying shrinkage of cement-based materials, but the influence of SRA structures with varying configurations on drying shrinkage remains unclear. This study mainly synthesized two types of SRA by using different shrinkage-reducing mono"
48,0,Zi‐Kui Liu,Pennsylvania State University,https://openalex.org/A5100462392,https://orcid.org/0000-0003-3346-3696,,94,37956,1081,Intermetallics and Advanced Alloy Properties; Metallurgical and Alloy Processes; High Temperature Alloys and Creep,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Disturbance modeling compensation predictive LADRC of tank gun control system using self-attention mechanism based bi-LSTM network,2026,ISA Transactions,https://doi.org/10.1016/j.isatra.2026.03.004,,Symmetry-broken superconducting configurations from density functional theory for bcc and hcp metals and Nb3Sn,2026,ArXiv.org,,"We recently proposed a unified theoretical framework for superconductivity that broadens the applicability of Bardeen-Cooper-Schrieffer (BCS) theory to both conventional and unconventional superconductors. Within this framework, superconductivity arises from the formation of a symmetry-broken superc",Thermal oxidation and high temperature structural behavior of uranium carbide,2026,npj Materials Degradation,https://doi.org/10.1038/s41529-025-00732-1,"Uranium monocarbide (UC) exhibits physiochemical characteristics well-suited for nuclear fuel applications in Generation IV reactors, but its high susceptibility to oxidation remains a major barrier to deployment. A detailed understanding of the U-C-O system, including UC thermal oxidation, crystal "
49,0,Horst Hahn,University of Oklahoma,https://openalex.org/A5075404776,https://orcid.org/0000-0001-9901-3861,,90,35573,1068,Particle accelerators and beam dynamics; Metallic Glasses and Amorphous Alloys; Particle Accelerators and Free-Electron Lasers,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Epitaxial CeO <sub>2</sub> Films as a Host for Quantum Applications,2026,Advanced Functional Materials,https://doi.org/10.1002/adfm.202532166,"ABSTRACT In a highly purified host, the coherence of quantum emitters is ultimately limited by hyperfine interactions between the emitter and lattice nuclei possessing non‐zero nuclear magnetic moments. This limitation can only be mitigated through isotopic purification. In this work, we investigate",Origins of annealing-induced hardening and ductilization in a nanograined non-equiatomic CoCrFeMnNi alloy,2026,Materials Science and Engineering A,https://doi.org/10.1016/j.msea.2026.150011,,A UHV-compatible flow reactor for model catalytic reactions under realistic conditions combined with catalyst cluster synthesis,2026,Review of Scientific Instruments,https://doi.org/10.1063/5.0307891,"The study of model catalysts under complex reaction conditions needs to address several challenges, including high-sensitivity detection and accurate control of reaction pressure and temperature, while ensuring a contamination-free environment. Here, we developed an ultra-high vacuum (UHV)-compatibl"
50,0,M. Ortíz,California Institute of Technology,https://openalex.org/A5054661641,https://orcid.org/0000-0001-5877-4824,,90,34222,596,Microstructure and mechanical properties; Numerical methods in engineering; High-Velocity Impact and Material Behavior,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Correction to: Linear Viscoelasticity: Mechanics, Analysis and Approximation",2025,Archives of Computational Methods in Engineering,https://doi.org/10.1007/s11831-025-10468-5,,Level of Effectiveness of Electronic Payment and Collection Systemfor Real Property Tax in the Local Government Unit of Ajuy,2025,Journal of Economics Innovative Management and Entrepreneurship,https://doi.org/10.59652/m2bjr503,"This study assessed the level of effectiveness of the Electronic Payment and Collection System (EPCS) for Real Property Tax (RPT) implemented by the Local Government Unit (LGU) of Ajuy, Iloilo. Guided by the Technology Acceptance Model (TAM), the research employed a descriptive survey method to eval","Linear Viscoelasticity: Mechanics, Analysis and Approximation",2025,Archives of Computational Methods in Engineering,https://doi.org/10.1007/s11831-025-10426-1,
51,0,David C. Dunand,Northwestern University,https://openalex.org/A5082095023,https://orcid.org/0000-0001-5476-7379,,87,29271,696,Aluminum Alloys Composites Properties; Aluminum Alloy Microstructure Properties; Microstructure and mechanical properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Coarsening- and creep behavior of supersaturated Al-Zr-X (X = Mn, Cr, V, Mo, W) alloys processed by laser powder-bed fusion",2026,Additive manufacturing,https://doi.org/10.1016/j.addma.2026.105145,,Rapid characterization of high-temperature oxidation via X-ray diffraction in laser-deposited superalloys,2026,Materials Characterization,https://doi.org/10.1016/j.matchar.2026.116232,,Effects of Si concentration on the age hardening response and creep resistance of Sn-modified Al-Mn-Si alloys,2026,Materials Science and Engineering A,https://doi.org/10.1016/j.msea.2026.150060,
52,0,Irene J. Beyerlein,"University of California, Santa Barbara",https://openalex.org/A5034851444,https://orcid.org/0000-0002-5489-5132,,88,28781,539,Microstructure and mechanical properties; Aluminum Alloys Composites Properties; Magnesium Alloys: Properties and Applications,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Thermo-mechanical experiments for deformation twinning in high-purity titanium,2025,Mechanics of Materials,https://doi.org/10.1016/j.mechmat.2025.105479,,Critical temperatures for ductile to brittle transition and athermal strength in refractory metals,2025,Journal of Materials Research and Technology,https://doi.org/10.1016/j.jmrt.2025.09.060,"The plasticity of body-centered cubic metals exhibits a strong temperature dependence, governing both their yield behavior and their transition from brittle to ductile fracture. While it is well established that strength and toughness in bcc metals undergo distinct transitions at critical temperatur",Grain size effects on slip band development,2025,International Journal of Solids and Structures,https://doi.org/10.1016/j.ijsolstr.2025.113589,
53,0,Christopher A. Schuh,Massachusetts Institute of Technology,https://openalex.org/A5055304339,https://orcid.org/0000-0001-9856-2682,,84,28702,533,Microstructure and mechanical properties; Advanced materials and composites; Metal and Thin Film Mechanics,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,3D Tomography Insights on Particle-Particle Bonding in Cold Spray,2026,Materialia,https://doi.org/10.1016/j.mtla.2026.102742,,Crossing from thermally activated to drag-controlled plasticity in mild steel as strain rate increases,2026,Acta Materialia,https://doi.org/10.1016/j.actamat.2026.122120,,Overview: The Spectral Model of Grain Boundary Segregation,2026,Acta Materialia,https://doi.org/10.1016/j.actamat.2026.122109,
54,0,Amit Misra,University of Michigan,https://openalex.org/A5013884845,https://orcid.org/0000-0003-3634-6823,,83,25788,535,Microstructure and mechanical properties; Metal and Thin Film Mechanics; Aluminum Alloys Composites Properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,The Road to SDV: A Maturity Model for Software-Defined Transformation,2026,SAE technical papers on CD-ROM/SAE technical paper series,https://doi.org/10.4271/2026-26-0679,"&lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;Software Defined Vehicles (SDV), Software Defined Networks (SDN), Software Defined (Power) Grids (SDG) are just a few examples of how the Software Defined Transformation is unfolding across many industries today (collectively ",Broadening the impact of MRS Bulletin,2025,MRS Bulletin,https://doi.org/10.1557/s43577-025-01043-1,,Multiscale modeling of vacancy-cluster interactions and solute clustering kinetics in multicomponent alloys,2025,npj Computational Materials,https://doi.org/10.1038/s41524-025-01840-x,"Prediction of solute clustering kinetics in aged multicomponent alloys requires a quantitative understanding of complex vacancy-cluster interactions across multiple scales. Here, we develop an integrated computational framework combining on-lattice kinetic Monte Carlo (KMC) simulations, absorbing Ma"
55,0,Ting Zhu,Georgia Institute of Technology,https://openalex.org/A5101496982,https://orcid.org/0000-0001-8612-9689,,78,25523,229,Microstructure and mechanical properties; Advancements in Battery Materials; Metal and Thin Film Mechanics,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,In-situ construction of La1 − xSrxAlO3−δ/Li2CO3 electrolyte for low-temperature solid oxide fuel cells,2026,Ionics,https://doi.org/10.1007/s11581-026-06966-6,,Deciphering Atomic Electronic Structure Dynamics and Site Occupancy Transitions in Dictating Sodium Storage in Hard Carbon,2026,Advanced Materials,https://doi.org/10.1002/adma.202519384,"Deciphering the hard carbon (HC) sodiation mechanism is essential for HC's rational design, but is confused by sodium insertion and pore-filling in the plateau region due to HC's microstructural heterogeneity. This work leverages high-resolution <sup>13</sup>C NMR and operando <sup>23</sup>Na NMR, w",Warm rolling combined with rare earth yttrium segregation induces secondary recrystallization in strip-cast Fe-3%Si grain-oriented silicon steel,2025,Materials Research Express,https://doi.org/10.1088/2053-1591/ae24ca,"Abstract The effect of warm-rolling on the microstructure, texture, and magnetic properties of ultra-low carbon yttrium (Y) -doped grain-oriented (Y-GO) Fe-3%Si steel as-cast strips were systematically investigated. Rare-earth Y atoms interact with dislocation-solute complexes to induce dynamic stra"
56,0,Ke An,Oak Ridge National Laboratory,https://openalex.org/A5029303709,https://orcid.org/0000-0002-6093-429X,,74,25460,570,High Entropy Alloys Studies; High-Temperature Coating Behaviors; Shape Memory Alloy Transformations,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Tangent moduli and successive hardening mechanisms: quantification from in situ neutron diffraction and ductility improvement of nanoprecipitation-strengthened HEAs,2026,Materials Science and Engineering A,https://doi.org/10.1016/j.msea.2026.150187,,"Shape memory alloy reconfigurable technology vortex generators (SMART-VG), part I: alloy design for environmentally actuated device",2026,Smart Materials and Structures,https://doi.org/10.1088/1361-665x/ae4b78,"Abstract Vortex generators (VGs) are small vanes typically placed on aircraft aerodynamic surfaces (e.g. wings and vertical stabilizers) to delay flow separation and stalling and increase control surface authority (e.g. for ailerons, flaps, and rudder control). Although they are essential for certai",High-Temperature Neutron Diffraction Study of Vanadium and Vanadium–Niobium Null-Matrix Alloy for Spectrum Normalization,2025,ACS Applied Engineering Materials,https://doi.org/10.1021/acsaenm.5c00966,This study systematically evaluates a vanadium–niobium (V94.1Nb5.9) null-matrix alloy as a reference material for neutron spectrum normalization and compares its performance with that of pure vanadium under identical experimental conditions. Neutron diffraction experiments are conducted on the VULCA
57,0,Togay Ozbakkaloglu,Texas State University,https://openalex.org/A5017593645,https://orcid.org/0000-0003-3015-736X,,84,23878,360,Structural Behavior of Reinforced Concrete; Innovative concrete reinforcement materials; Concrete and Cement Materials Research,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Development of waste-based concrete: influence of glass sand and recycled fine aggregate on concrete properties,2025,International Journal of Construction Management,https://doi.org/10.1080/15623599.2025.2595500,,"Development of high-performance one-part geopolymer foam concrete using ground granulated blast furnace slag, waste concrete sludge, and bamboo powder for sustainable construction",2025,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2025.144827,,Fly ash and waste brick powder-based one-part geopolymer foam concrete with enhanced thermal performance: A circular approach to construction and demolition waste utilization,2025,Journal of Building Engineering,https://doi.org/10.1016/j.jobe.2025.114850,
58,0,Zhanping You,Michigan Technological University,https://openalex.org/A5004627679,https://orcid.org/0000-0002-9103-6599,,82,23871,544,Asphalt Pavement Performance Evaluation; Infrastructure Maintenance and Monitoring; Geotechnical Engineering and Underground Structures,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Developing Global Warming Potential Criteria for Balanced Asphalt Mixes with Emerald Eco-Label EPDs,2025,Journal of Materials in Civil Engineering,https://doi.org/10.1061/jmcee7.mteng-21581,"This study integrates balanced mix design (BMD) thresholds with Environmental Product Declarations (EPDs) for asphalt mixtures at three nominal maximum aggregate sizes (NMAS): 9.5, 12.5, and 19 mm. The primary objective is to evaluate both performance and environmental sustainability by combining BM",Effect of Alkali Lignin on Adhesion and UV Aging Resistance of Recycled Asphalt Binder by Waste Engine Oil,2025,Journal of Materials in Civil Engineering,https://doi.org/10.1061/jmcee7.mteng-20723,"A substantial quantity of reclaimed asphalt pavement mixture (RAP) is generated during the regeneration of asphalt binder pavement. The old asphalt binder (OAS) in RAP can be effectively reused after regeneration processing, while the utilization of waste engine oil can restore certain physical prop",High-content crumb rubber modified asphalt mixture via wet process: Laboratory evaluation and field application,2025,Construction and Building Materials,https://doi.org/10.1016/j.conbuildmat.2025.143438,
59,0,Antonio Nanni,University of Miami,https://openalex.org/A5047875629,https://orcid.org/0000-0003-2678-9268,,74,23849,696,Structural Behavior of Reinforced Concrete; Concrete Corrosion and Durability; Innovative concrete reinforcement materials,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,SHEAR PERFORMANCE OF RC MEMBERS STRENGTHENED WITH EXTERNALLY BONDED FRP WRAPS,2025,World Conference of Earthquake Engineering,https://doi.org/10.71846/12-wcee-1254,"SUMMARY This study presents the shear performance and the modes of failure of reinforced concrete (RC) beams strengthened with externally bonded carbon fiber reinforced polymer (CFRP) wraps. The experimental program consisted of testing twenty-seven, full-scale, RC beams. The variables investigated ",Explainable Machine Learning Framework with Experimental Validation for Strength Prediction of Magnesium Phosphate Cement,2025,International Journal of Concrete Structures and Materials,https://doi.org/10.1186/s40069-025-00856-3,"Abstract Magnesium Phosphate Cement (MPC) is recognized as an effective rapid repair material, with compressive strength serving as a key mechanical property indicator for its mortar formulations. Nevertheless, due to MPC's complex composition and formulation, predicting its compressive strength rem",Evaluation of the compactness of granular mixes for roller compacted concrete design using SPO-ANN,2025,Road Materials and Pavement Design,https://doi.org/10.1080/14680629.2025.2584558,
60,0,Kwok‐Leung Tsui,Virginia Tech,https://openalex.org/A5002878668,https://orcid.org/0000-0002-0558-2279,,73,23642,590,Advanced Statistical Process Monitoring; Optimal Experimental Design Methods; Machine Fault Diagnosis Techniques,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,“The overlooked majority”: Revealing the spatiotemporal travel patterns of low travel frequency passengers and their impact on metro systems,2025,Transport Policy,https://doi.org/10.1016/j.tranpol.2025.103932,,MIEF-Net: multimodal image-enhanced fusion network for intelligent fall risk prediction,2025,Neural Networks,https://doi.org/10.1016/j.neunet.2025.108260,,A unified threshold-constrained optimization framework for consistent and interpretable cross-machine condition monitoring,2025,Reliability Engineering & System Safety,https://doi.org/10.1016/j.ress.2025.111829,"Accurate detection of incipient faults during lifecycle degradation is crucial for continuous condition monitoring of industrial equipment. Condition indices (CIs) with pre-set thresholds are widely used in engineering practice due to their intuitiveness, simplicity, and convenience. However, uncert"
61,0,Kamal H. Khayat,Missouri University of Science and Technology,https://openalex.org/A5059197309,https://orcid.org/0000-0003-1431-0715,,80,22799,483,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Innovations in Concrete and Construction Materials,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,How does competitive adsorption between VMA and PCE influence yield stress of cement paste? A novel insight from interparticle forces and percolation threshold,2026,Cement and Concrete Research,https://doi.org/10.1016/j.cemconres.2026.108233,,"Transforming dredged sediment into reactive clay: Critical review of calcination, reactivity, and sustainable valorization as supplementary cementitious material",2026,Applied Clay Science,https://doi.org/10.1016/j.clay.2026.108160,,Experiences in Teaching Advanced Rheology of Concrete,2026,,https://doi.org/10.14359/51750592,
62,0,Paulo J.M. Monteiro,"University of California, Berkeley",https://openalex.org/A5034429631,https://orcid.org/0000-0002-6866-1783,,70,22700,276,Concrete and Cement Materials Research; Innovative concrete reinforcement materials; Building materials and conservation,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Critical Review of Nanomechanical Properties of Calcium (Alumino) Silicate Hydrates: Test Methods, Influencing Factors, and Enhancing Strategies",2025,Engineering,https://doi.org/10.1016/j.eng.2025.11.015,"The mechanical properties of calcium (alumino) silicate hydrates (C-(A)-S-H) represent a critical focus within the cement and concrete industry. This review begins by summarizing particle- and subparticle-scale models of C-(A)-S-H. Building on these models, the effects of chemical composition and mi",How sustainable was ancient Roman concrete?,2025,iScience,https://doi.org/10.1016/j.isci.2025.113052,"The remarkable longevity of Roman concrete has long fascinated researchers and hinted at its potential as a sustainable alternative to modern concrete formulations. However, rigorous assessment of its environmental impact-particularly in the context of modern production technologies-has been lacking",Intrinsic mechanical properties and seeding effect of tobermorite synthesized in supercritical water,2025,The Journal of Supercritical Fluids,https://doi.org/10.1016/j.supflu.2025.106710,"This publication reports for the first time the physio-chemical, the intrinsic mechanical properties and the seed effect of anomalous Al-substituted 11 Å tobermorite synthesized via the innovative supercritical hydrothermal flow process at 400 °C and 25 MPa. This approach allows synthesizing highly "
63,0,X. Zhang,Purdue University West Lafayette,https://openalex.org/A5035361887,https://orcid.org/0000-0002-8380-8667,,77,21884,547,Microstructure and mechanical properties; Metal and Thin Film Mechanics; Fusion materials and technologies,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Control of Oxidation during the Self-Assembling Process in Nitride-Based Nanocomposite Films,2025,Crystal Growth & Design,https://doi.org/10.1021/acs.cgd.5c00797,"Nitride-based vertically aligned nanocomposites (VANs), including both nitride-metal and nitride-oxide VAN systems, have demonstrated unique vertical structures with multifunctionalities, such as enhanced second harmonic generation, plasmonic resonance, hyperbolic optical response, magnetic anisotro",A compact and broadband focusing grating coupler based on thin-film barium titanate,2025,,https://doi.org/10.1117/12.3092057,"Thin-film lithium niobate (LN) is an ideal integrated platforms for optical communication, lidar, and sensing due to its low loss, high Pockels coefficient (r<sub>33</sub>=31 pm/V). Especially, benefiting from the phase matching of electrical and optical fields, electro-optic modulators exceeding 10",Progress in Spectroscopy and Sensing Applications of Optical Microcombs,2025,Photonic Sensors,https://doi.org/10.1007/s13320-025-0773-1,"Abstract Optical frequency combs, characterized by their evenly spaced spectral lines with high phase coherence, possess revolutionary measurement capabilities. It is enabling applications in a wide bound of sensing fields, including precision spectroscopy, range measurement, and acoustic sensing. L"
64,0,Cemal Cem Taşan,IIT@MIT,https://openalex.org/A5091091127,https://orcid.org/0000-0002-3617-9386,,56,19715,258,Microstructure and Mechanical Properties of Steels; Microstructure and mechanical properties; Hydrogen embrittlement and corrosion behaviors in metals,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Enabling hydride decomposition without heat treatments,2025,Scripta Materialia,https://doi.org/10.1016/j.scriptamat.2025.117054,,From Crucible Steel to the Battlefield: Investigating a Unique Early Medieval Arrowhead from Anatolia,2025,Metallography Microstructure and Analysis,https://doi.org/10.1007/s13632-025-01216-z,,Microstructure effects on hydride formation in an α+β titanium alloy,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121115,
65,0,B. Clausen,Los Alamos National Laboratory,https://openalex.org/A5047365846,https://orcid.org/0000-0003-3906-846X,,67,18828,419,Microstructure and mechanical properties; Microstructure and Mechanical Properties of Steels; Nuclear Materials and Properties,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Glycosylated GM-CSF expands B-1b cells and B-1b plasma cells and programs them for immunosuppression,2026,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.64898/2026.02.02.703206,"Abstract The myeloid growth factor granulocyte-macrophage colony-stimulating factor (GM-CSF) exhibits paradoxical pro- and anti-inflammatory functions, but the factors determining these divergent outcomes remain unclear. Here, we report that this functional divergence is controlled by its glycosylat",Influence of stacking fault energy and hydrogen on deformation mechanisms in high Mn austenitic steels during in-situ tensile testing,2025,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2025.06.023,High Mn austenitic steels are considered an economical alloy system for hydrogen storage and transport applications. This study used stacking fault energy (SFE) as a design parameter to achieve hydrogen embrittlement (HE)-resistant high Mn austenitic alloys. The role of hydrogen on the deformation m,Martensitic Variant Selection During Compression/Tension Cycling of a Uranium–Niobium Shape Memory Alloy,2025,Metallurgical and Materials Transactions A,https://doi.org/10.1007/s11661-025-07725-4,Abstract The shape memory alloy depleted uranium 6-wt pct (~ 14 at. pct) niobium was tested in cyclic compression/tension with a nominal amplitude of ± 2 pct strain to 200 cycles where the test was halted without failure. Throughout the test an accumulated total strain of roughly 700 pct or a total 
66,0,Gregory S. Rohrer,Carnegie Mellon University,https://openalex.org/A5029524832,https://orcid.org/0000-0002-9671-3034,,72,17756,474,Microstructure and mechanical properties; Microstructure and Mechanical Properties of Steels; Electronic and Structural Properties of Oxides,,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Shear-Coupled Grain Growth Statistics,2026,ArXiv.org,,"Grain growth (GG), driven by grain boundary (GB) migration, is a fundamental mechanism of microstructural evolution in polycrystalline materials. GB migration is frequently accompanied by a relative shear displacement of grains meeting at GBs, a phenomenon known as shear coupling. This coupling indu",Accelerating dictionary indexing of electron backscatter diffraction patterns with PCA and quantization,2026,Scientific Reports,https://doi.org/10.1038/s41598-025-34391-8,"Dictionary indexing (DI) for Electron Backscatter Diffraction (EBSD) has conventionally traded computational speed for superior robustness to pattern noise when compared to traditional Hough indexing methods. To alleviate this computational bottleneck, we propose a novel Principal Component Analysis",Accurate grain boundary plane distributions for textured microstructures from stereological analysis of orthogonal two-dimensional electron backscatter diffraction orientation maps,2025,Ultramicroscopy,https://doi.org/10.1016/j.ultramic.2025.114262,"We present a method for obtaining qualitatively accurate grain boundary plane distributions (GBPD) for textured microstructures using a stereological calculation applied to two-dimensional electron backscatter diffraction (EBSD) orientation maps. Stereology, applied to 2D EBSD orientation maps, is c"
